vcf_sample	bed_sample
GTEX-1LG7Z	GTEX-1LG7Z-0005-SM-DKPQ6
GTEX-1LGOU	GTEX-1LGOU-0005-SM-DKPPW
GTEX-1LGRB	GTEX-1LGRB-0006-SM-DKPPB
GTEX-1LH75	GTEX-1LH75-0006-SM-CXZIP
GTEX-1LKK1	GTEX-1LKK1-0005-SM-CXZIT
GTEX-1LNCM	GTEX-1LNCM-0005-SM-CXZIR
GTEX-1LSNL	GTEX-1LSNL-0006-SM-CXZIV
GTEX-1LSNM	GTEX-1LSNM-0005-SM-CXZIW
GTEX-1LSVX	GTEX-1LSVX-0005-SM-DKPPI
GTEX-1LVA9	GTEX-1LVA9-0006-SM-DKPPN
GTEX-1LVAM	GTEX-1LVAM-0005-SM-CXZJ4
GTEX-1LVAN	GTEX-1LVAN-0005-SM-DKPPM
GTEX-1LVAO	GTEX-1LVAO-0006-SM-CXZIU
GTEX-1M4P7	GTEX-1M4P7-0005-SM-CXZIS
GTEX-1M5QR	GTEX-1M5QR-0005-SM-DKPPP
GTEX-1MA7W	GTEX-1MA7W-0006-SM-DKPPR
GTEX-1MA7X	GTEX-1MA7X-0006-SM-CXZJ6
GTEX-1MCC2	GTEX-1MCC2-0006-SM-DKPPJ
GTEX-1MCQQ	GTEX-1MCQQ-0005-SM-DKPPV
GTEX-1MCYP	GTEX-1MCYP-0005-SM-DKPPK
GTEX-1MGNQ	GTEX-1MGNQ-0005-SM-CXZJ1
GTEX-1MJIX	GTEX-1MJIX-0006-SM-DKPPU
GTEX-1MJK2	GTEX-1MJK2-0006-SM-CXZIN
GTEX-1MJK3	GTEX-1MJK3-0006-SM-DKPP9
GTEX-1MUQO	GTEX-1MUQO-0005-SM-DKPPT
GTEX-1N2DW	GTEX-1N2DW-0006-SM-DKPP4
GTEX-1N2EE	GTEX-1N2EE-0005-SM-DKPP5
GTEX-1N2EF	GTEX-1N2EF-0005-SM-CXZIL
GTEX-1N5O9	GTEX-1N5O9-0006-SM-DKPPS
GTEX-1NHNU	GTEX-1NHNU-0005-SM-DKPP3
GTEX-1NSGN	GTEX-1NSGN-0005-SM-DKPPX
GTEX-1NUQO	GTEX-1NUQO-0005-SM-DKPP2
GTEX-1NV8Z	GTEX-1NV8Z-0005-SM-DKPQ3
GTEX-1O97I	GTEX-1O97I-0005-SM-DKPPY
GTEX-1O9I2	GTEX-1O9I2-0005-SM-DKPQ1
GTEX-1OFPY	GTEX-1OFPY-0005-SM-DKPPZ
GTEX-1OJC3	GTEX-1OJC3-0006-SM-DKPP1
GTEX-1OJC4	GTEX-1OJC4-0005-SM-DKPQ4
GTEX-1OKEX	GTEX-1OKEX-0006-SM-DKPQ2
GTEX-1P4AB	GTEX-1P4AB-0005-SM-CY8GM
GTEX-1PBJI	GTEX-1PBJI-0005-SM-CJI1Y
GTEX-1PBJJ	GTEX-1PBJJ-0005-SM-CKZND
GTEX-1PDJ9	GTEX-1PDJ9-0006-SM-CY8GN
GTEX-1PFEY	GTEX-1PFEY-0005-SM-CY8GO
GTEX-1PIEJ	GTEX-1PIEJ-0005-SM-DLZQL
GTEX-1PIGE	GTEX-1PIGE-0005-SM-DLZQM
GTEX-1PIIG	GTEX-1PIIG-0006-SM-DLZQF
GTEX-1POEN	GTEX-1POEN-0005-SM-DLZQN
GTEX-1PPH6	GTEX-1PPH6-0005-SM-DLZQP
GTEX-1PPH7	GTEX-1PPH7-0005-SM-CKZNE
GTEX-1PPH8	GTEX-1PPH8-0006-SM-CY8GS
GTEX-1PWST	GTEX-1PWST-0005-SM-DLZQC
GTEX-1QAET	GTEX-1QAET-0006-SM-DLZQQ
GTEX-1QCLY	GTEX-1QCLY-0005-SM-DLZQS
GTEX-1QCLZ	GTEX-1QCLZ-0006-SM-CY8GW
GTEX-1QEPI	GTEX-1QEPI-0006-SM-CY8GY
GTEX-1QMI2	GTEX-1QMI2-0006-SM-CY8H1
GTEX-1QP28	GTEX-1QP28-0006-SM-DLZQW
GTEX-1QP29	GTEX-1QP29-0005-SM-DLZQX
GTEX-1QP66	GTEX-1QP66-0005-SM-CY8H4
GTEX-1QP67	GTEX-1QP67-0006-SM-CY8H5
GTEX-1QP9N	GTEX-1QP9N-0005-SM-CY8H9
GTEX-1QPFJ	GTEX-1QPFJ-0006-SM-CY8HB
GTEX-1QW4Y	GTEX-1QW4Y-0005-SM-DO93W
GTEX-1R46S	GTEX-1R46S-0006-SM-DO93Y
GTEX-1R7EU	GTEX-1R7EU-0006-SM-DO93C
GTEX-1R7EV	GTEX-1R7EV-0005-SM-DO938
GTEX-1R9JW	GTEX-1R9JW-0002-SM-DO93B
GTEX-1R9K4	GTEX-1R9K4-0006-SM-CYPRM
GTEX-1R9K5	GTEX-1R9K5-0006-SM-DO939
GTEX-1R9PM	GTEX-1R9PM-0006-SM-CYPTI
GTEX-1R9PN	GTEX-1R9PN-0006-SM-DTX7L
GTEX-1R9PO	GTEX-1R9PO-0006-SM-DO937
GTEX-1RAZA	GTEX-1RAZA-0006-SM-CKZO9
GTEX-1RAZQ	GTEX-1RAZQ-0005-SM-DO93U
GTEX-1RAZR	GTEX-1RAZR-0006-SM-DLHBR
GTEX-1RB15	GTEX-1RB15-0005-SM-CL53N
GTEX-1RLM8	GTEX-1RLM8-0005-SM-DO121
GTEX-1RMOY	GTEX-1RMOY-0005-SM-DO11X
GTEX-1RNTQ	GTEX-1RNTQ-0006-SM-CYPRG
GTEX-1RQEC	GTEX-1RQEC-0006-SM-CL542
GTEX-1RQED	GTEX-1RQED-0005-SM-DO11Z
GTEX-1S3DN	GTEX-1S3DN-0006-SM-DO127
